hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|PA,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,
St Elizabeth Edgewood,7/1/2024,2.2.0,St Elizabeth Edgewood|St Elizabeth Covington|St Elizabeth Dearborn|St Elizabeth Florence|St Elizabeth Ft Thomas|St Elizabeth Grant,"1 Medical Village Drive, Edgewood, KY 41017|1500 James Simpson Jr Way, Covington, KY 41011|600 Wilson Creek Rd, Lawrenceburg, IN 47025|4900 Houston Rd, Florence, KY 41042|85 N Grand Ave, Fort Thomas, KY 41075|238 Barnes Rd, Williamstown, KY 41097",PA DOH 163301,TRUE,,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,code|4,code|4|type,billing_class,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|min,standard_charge|max,standard_charge|methodology,additional_generic_notes
PAR/CUT HYPERK LESION SINGLE,361,RC,11055,CPT,,,,,facility,outpatient,,,373,298.4,Aetna,EBR ASO,PO,130.55,,,,22,931.2,percent of total billed charges,
PAR/CUT HYPERK LESION 2 TO 4,361,RC,11056,CPT,,,,,facility,inpatient,,,1960,1568,Aetna,EBR ASO,,686,,,,344.96,1666,percent of total billed charges,
PAR/CUT HYPERK LESION 2 TO 4,361,RC,11056,CPT,,,,,facility,outpatient,,,1960,1568,Aetna,EBR ASO,,686,,,,32.65,1666,percent of total billed charges,
TANGNTL BX SKIN SINGLE LES,361,RC,11102,CPT,,,,,facility,inpatient,,,1565,1252,Aetna,EBR ASO,,547.75,,,,275.44,1330.25,percent of total billed charges,
TANGNTL BX SKIN SINGLE LES,361,RC,11102,CPT,,,,,facility,outpatient,,,1565,1252,Aetna,EBR ASO,,547.75,,,,35.45,1330.25,percent of total billed charges,
TANGNTL BX SKIN EA SEP/ADDL,361,RC,11103,CPT,,,,,facility,inpatient,,,1235,988,Aetna,EBR ASO,,432.25,,,,217.36,1049.75,percent of total billed charges,
TANGNTL BX SKIN EA SEP/ADDL,361,RC,11103,CPT,,,,,facility,outpatient,,,1235,988,Aetna,EBR ASO,,432.25,,,,20.52,1049.75,percent of total billed charges,
PUNCH BX SKIN SINGLE LESION,361,RC,11104,CPT,,,,,facility,inpatient,,,1565,1252,Aetna,EBR ASO,,547.75,,,,275.44,1330.25,percent of total billed charges,
PUNCH BX SKIN SINGLE LESION,361,RC,11104,CPT,,,,,facility,outpatient,,,1565,1252,Aetna,EBR ASO,,547.75,,,,44.47,1330.25,percent of total billed charges,
PUNCH BX SKIN EA SEP/ADDL,361,RC,11105,CPT,,,,,facility,inpatient,,,1235,988,Aetna,EBR ASO,,432.25,,,,217.36,1049.75,percent of total billed charges,
PUNCH BX SKIN EA SEP/ADDL,361,RC,11105,CPT,,,,,facility,outpatient,,,1235,988,Aetna,EBR ASO,,432.25,,,,24.26,1049.75,percent of total billed charges,
INCAL BX SKN SINGLE LES,361,RC,11106,CPT,,,,,facility,inpatient,,,1565,1252,Aetna,EBR ASO,,547.75,,,,275.44,1330.25,percent of total billed charges,
INCAL BX SKN SINGLE LES,361,RC,11106,CPT,,,,,facility,outpatient,,,1565,1252,Aetna,EBR ASO,,547.75,,,,54.13,1330.25,percent of total billed charges,
INCAL BX SKN EA SEP/ADDL,361,RC,11107,CPT,,,,,facility,inpatient,,,1235,988,Aetna,EBR ASO,,432.25,,,,217.36,1049.75,percent of total billed charges,
INCAL BX SKN EA SEP/ADDL,361,RC,11107,CPT,,,,,facility,outpatient,,,1235,988,Aetna,EBR ASO,,432.25,,,,28.92,1049.75,percent of total billed charges,
REMOVAL OF SKIN TAGS UP TO 15,361,RC,11200,CPT,,,,,facility,inpatient,,,1815,1452,Aetna,EBR ASO,,635.25,,,,319.44,1542.75,percent of total billed charges,
REMOVAL OF SKIN TAGS UP TO 15,361,RC,11200,CPT,,,,,facility,outpatient,,,1815,1452,Aetna,EBR ASO,,635.25,,,,34.1,1542.75,percent of total billed charges,
REMOVAL OF SKIN TAGS UP TO 15,361,RC,11200,CPT,,,,,facility,inpatient,,,1815,1452,Aetna,EBR ASO,PO,635.25,,,,319.44,1542.75,percent of total billed charges,
REMOVAL OF SKIN TAGS UP TO 15,361,RC,11200,CPT,,,,,facility,outpatient,,,1815,1452,Aetna,EBR ASO,PO,635.25,,,,34.1,1542.75,percent of total billed charges,
REMOVAL OF SKIN TAGS EA ADD 10,361,RC,11201,CPT,,,,,facility,inpatient,,,622,497.6,Aetna,EBR ASO,,217.7,,,,109.47,528.7,percent of total billed charges,
REMOVAL OF SKIN TAGS EA ADD 10,361,RC,11201,CPT,,,,,facility,outpatient,,,622,497.6,Aetna,EBR ASO,,217.7,,,,16.03,528.7,percent of total billed charges,
SHAV EPI/DERM LES TRNK<0.5CM,361,RC,11300,CPT,,,,,facility,inpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,188.67,911.2,percent of total billed charges,
SHAV EPI/DERM LES TRNK<0.5CM,361,RC,11300,CPT,,,,,facility,outpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,27.5,911.2,percent of total billed charges,
SHAV EPI/DER LES TRK 0.6-1.0CM,361,RC,11301,CPT,,,,,facility,inpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,188.67,911.2,percent of total billed charges,
SHAV EPI/DER LES TRK 0.6-1.0CM,361,RC,11301,CPT,,,,,facility,outpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,35.2,911.2,percent of total billed charges,
SHAV EPI/DER LES TRK 1.1-2CM,361,RC,11302,CPT,,,,,facility,inpatient,,,1874,1499.2,Aetna,EBR ASO,,655.9,,,,329.82,1592.9,percent of total billed charges,
SHAV EPI/DER LES TRK 1.1-2CM,361,RC,11302,CPT,,,,,facility,outpatient,,,1874,1499.2,Aetna,EBR ASO,,655.9,,,,41.8,1592.9,percent of total billed charges,
SHAV EPI/DER LES SCLP <0.5CM,361,RC,11305,CPT,,,,,facility,inpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,188.67,911.2,percent of total billed charges,
SHAV EPI/DER LES SCLP <0.5CM,361,RC,11305,CPT,,,,,facility,outpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,30.8,911.2,percent of total billed charges,
SHAV EPI/DER LES SCL 0.6-1.0CM,361,RC,11306,CPT,,,,,facility,inpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,188.67,911.2,percent of total billed charges,
SHAV EPI/DER LES SCL 0.6-1.0CM,361,RC,11306,CPT,,,,,facility,outpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,38.5,911.2,percent of total billed charges,
SHAV EPI/DER LES SCLP >2.0 CM,361,RC,11308,CPT,,,,,facility,inpatient,,,3741,2992.8,Aetna,EBR ASO,,1309.35,,,,658.42,3179.85,percent of total billed charges,
SHAV EPI/DER LES SCLP >2.0 CM,361,RC,11308,CPT,,,,,facility,outpatient,,,3741,2992.8,Aetna,EBR ASO,,1309.35,,,,55,3179.85,percent of total billed charges,
SHAV EPI/DER LES FACE <0.5CM,361,RC,11310,CPT,,,,,facility,inpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,188.67,911.2,percent of total billed charges,
SHAV EPI/DER LES FACE <0.5CM,361,RC,11310,CPT,,,,,facility,outpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,35.2,911.2,percent of total billed charges,
SHAV EPI/DER LES FAC 0.6-1.0CM,361,RC,11311,CPT,,,,,facility,inpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,188.67,911.2,percent of total billed charges,
SHAV EPI/DER LES FAC 0.6-1.0CM,361,RC,11311,CPT,,,,,facility,outpatient,,,1072,857.6,Aetna,EBR ASO,,375.2,,,,41.8,911.2,percent of total billed charges,
SHAV EPI/DER LES FAC 1.1-2.0CM,361,RC,11312,CPT,,,,,facility,inpatient,,,1306,1044.8,Aetna,EBR ASO,,457.1,,,,229.86,1110.1,percent of total billed charges,
SHAV EPI/DER LES FAC 1.1-2.0CM,361,RC,11312,CPT,,,,,facility,outpatient,,,1306,1044.8,Aetna,EBR ASO,,457.1,,,,55,1276.5,percent of total billed charges,
EX BEN LES<0.5CM TRNK/LIMB,361,RC,11400,CPT,,,,,facility,inpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,852.37,4116.55,percent of total billed charges,
EX BEN LES<0.5CM TRNK/LIMB,361,RC,11400,CPT,,,,,facility,outpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,41.25,4116.55,percent of total billed charges,
EXCISION LES B T A L 0.6-1.0CM,361,RC,11401,CPT,,,,,facility,inpatient,,,4393,3514.4,Aetna,EBR ASO,,1537.55,,,,773.17,3734.05,percent of total billed charges,
EXCISION LES B T A L 0.6-1.0CM,361,RC,11401,CPT,,,,,facility,outpatient,,,4393,3514.4,Aetna,EBR ASO,,1537.55,,,,51.15,3734.05,percent of total billed charges,
EXCISION LES B T A L 1.1-2.0CM,361,RC,11402,CPT,,,,,facility,inpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,852.37,4116.55,percent of total billed charges,
EXCISION LES B T A L 1.1-2.0CM,361,RC,11402,CPT,,,,,facility,outpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,59.4,4116.55,percent of total billed charges,
EXCISION LES B T A L 2.1-3.0CM,361,RC,11403,CPT,,,,,facility,inpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,852.37,4116.55,percent of total billed charges,
EXCISION LES B T A L 2.1-3.0CM,361,RC,11403,CPT,,,,,facility,outpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,71.5,4116.55,percent of total billed charges,
EXCISION LES B T A L 3.1-4.0CM,361,RC,11404,CPT,,,,,facility,inpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,852.37,4116.55,percent of total billed charges,
EXCISION LES B T A L 3.1-4.0CM,361,RC,11404,CPT,,,,,facility,outpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,88.55,4116.55,percent of total billed charges,
EXCISION LES B T A L 4.1+CM,361,RC,11406,CPT,,,,,facility,inpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,852.37,4116.55,percent of total billed charges,
EXCISION LES B T A L 4.1+CM,361,RC,11406,CPT,,,,,facility,outpatient,,,4843,3874.4,Aetna,EBR ASO,,1695.05,,,,129.25,4556.16,percent of total billed charges,
EXCISION LESB S N H <= 0.5 CM,361,RC,11420,CPT,,,,,facility,inpatient,,,4487,3589.6,Aetna,EBR ASO,,1570.45,,,,789.71,3813.95,percent of total billed charges,
EXCISION LESB S N H <= 0.5 CM,361,RC,11420,CPT,,,,,facility,outpatient,,,4487,3589.6,Aetna,EBR ASO,,1570.45,,,,44,3813.95,percent of total billed charges,
EXCISION LESB S N H 0.6-1.0 CM,361,RC,11421,CPT,,,,,facility,inpatient,,,3391,2712.8,Aetna,EBR ASO,,1186.85,,,,596.82,2882.35,percent of total billed charges,
EXCISION LESB S N H 0.6-1.0 CM,361,RC,11421,CPT,,,,,facility,outpatient,,,3391,2712.8,Aetna,EBR ASO,,1186.85,,,,46.75,3402.67,percent of total billed charges,
EXCISION LESB S N H 1.1-2.0 CM,361,RC,11422,CPT,,,,,facility,inpatient,,,4393,3514.4,Aetna,EBR ASO,,1537.55,,,,773.17,3734.05,percent of total billed charges,
